food_item,fat_g,satfat_g,carbs_g,protein_g,fiber_g,energy_kcal_calculated,cluster,subcluster,supercluster,plate_role
"Garlic, raw",0.38,0.0,28.2,6.62,2.7,142.7,0,1,0-1,protein
"Onions, white, raw",0.13,0.0,7.68,0.89,1.2,35.4,0,0,0-0,fruit / veg
"Apples, red delicious, with skin, raw",0.21,0.0,14.8,0.19,2.0,61.8,0,0,0-0,fruit / veg
"Apples, honeycrisp, with skin, raw",0.1,0.0,14.7,0.1,1.7,60.1,0,0,0-0,fruit / veg
"Apples, granny smith, with skin, raw",0.14,0.0,14.2,0.27,2.5,59.1,0,0,0-0,fruit / veg
"Apples, gala, with skin, raw",0.15,0.0,14.8,0.13,2.1,61.1,0,0,0-0,fruit / veg
"Apples, fuji, with skin, raw",0.16,0.0,15.7,0.15,2.1,64.8,0,0,0-0,fruit / veg
"Squash, winter, butternut, raw",0.1675,0.0,10.50745,1.14875,1.959,48.1,0,0,0-0,fruit / veg
"Squash, winter, acorn, raw",0.1825,0.0,10.48,1.25,2.635,48.6,0,0,0-0,fruit / veg
"Cabbage, bok choy, raw",0.2338,0.0,3.51495,1.02375,1.259,20.3,0,0,0-0,fruit / veg
"Cauliflower, raw",0.2375,0.0,4.723075,1.640625,1.948,27.6,0,0,0-0,fruit / veg
"Collards, raw",0.77,0.0,7.02225,2.96875,3.816,46.9,0,0,0-0,fruit / veg
"Brussels sprouts, raw",0.565,0.0,9.615625,3.984375,4.785,59.5,0,0,0-0,fruit / veg
"Beets, raw",0.3025,0.0,8.787,1.6875,3.119,44.6,0,0,0-0,fruit / veg
"Eggplant, raw",0.12,0.0,5.399325,0.851875,2.448,26.1,0,0,0-0,fruit / veg
"Tomatoes, whole, canned, solids and liquids, with salt added",0.2063,0.0,4.2874,0.8675,0.8725,22.5,0,0,0-0,fruit / veg
"Tomato, sauce, canned, with salt added",0.3825,0.0,6.331625,1.351875,1.636,34.2,0,0,0-0,fruit / veg
"Tomato, paste, canned, without salt added",0.7325,0.0,20.188125,4.234375,4.704,104.3,0,0,0-0,fruit / veg
"Tomatoes, crushed, canned",0.3975,0.0,7.137,1.4375,1.944,37.9,0,0,0-0,fruit / veg
"Tomato, puree, canned",0.265,0.0,8.036875,1.578125,1.971,40.8,0,0,0-0,fruit / veg
"Apricot, with skin, raw",0.405,0.0,10.23875,0.96125,1.51,48.4,0,0,0-0,fruit / veg
"Plantains, ripe, raw",0.8933,0.0,30.95215,1.15625,2.125,136.5,0,1,0-1,protein
"Plantains, underripe, raw",0.685,0.0,33.587325,1.229375,2.53,145.4,0,1,0-1,protein
"Arugula, baby, raw",0.325,0.0,5.36825,1.64875,2.28,31.0,0,0,0-0,fruit / veg
"Asparagus, green, raw",0.2163,0.0,5.1012,1.4375,1.883,28.1,0,0,0-0,fruit / veg
"Corn, sweet, yellow and white kernels,  fresh, raw",1.626,0.0,14.689625,2.789375,2.428,84.6,0,0,0-0,fruit / veg
"Kiwifruit (kiwi), green, peeled, raw",0.64,0.0,13.818075,1.008125,2.129,65.1,0,0,0-0,fruit / veg
"Mandarin, seedless, peeled, raw",0.4575,0.0,13.421825,1.039375,1.328,62.0,0,0,0-0,fruit / veg
"Mango, Tommy Atkins, peeled, raw",0.5725,0.0,15.265,0.5625,1.753,68.5,0,0,0-0,fruit / veg
"Mango, Ataulfo, peeled, raw",0.6813,0.0,17.3962,0.6875,1.289,78.5,0,0,0-0,fruit / veg
"Pear, Anjou, green, with skin, raw",0.3713,0.0,14.7674,0.3125,2.636,63.7,0,0,0-0,fruit / veg
"Plum, black, with skin, raw",0.2825,0.0,13.455575,0.578125,1.346,58.7,0,0,0-0,fruit / veg
"Plantains, overripe, raw",0.99,0.0,29.191425,1.166875,1.792,130.3,0,1,0-1,protein
"Carrots, frozen, unprepared",0.47,0.0,7.92,0.81,3.2,39.2,0,0,0-0,fruit / veg
"Tomatoes, grape, raw",0.63,0.0,5.51,0.83,2.1,31.0,0,0,0-0,fruit / veg
"Yogurt, Greek, plain, nonfat",0.37,0.108,3.64,10.3,0.0,59.1,0,0,0-0,fruit / veg
"Olives, green, Manzanilla, stuffed with pimiento",12.9,2.3,4.96,1.15,4.0,140.5,0,1,0-1,protein
"Tomatoes, canned, red, ripe, diced",0.5,0.0,3.32,0.84,0.0,21.1,0,0,0-0,fruit / veg
"Fish, pollock, raw",0.41,0.128,0.0,12.3,0.0,52.9,0,0,0-0,fruit / veg
"Lettuce, cos or romaine, raw",0.26,0.0,3.24,1.24,1.8,20.3,0,0,0-0,fruit / veg
"Melons, cantaloupe, raw",0.18,0.0,8.16,0.82,0.8,37.5,0,0,0-0,fruit / veg
"Oranges, raw, navels",0.15,0.0,11.8,0.91,2.0,52.2,0,0,0-0,fruit / veg
"Pears, raw, bartlett",0.16,0.0,15.1,0.38,3.1,63.4,0,0,0-0,fruit / veg
"Restaurant, Chinese, sweet and sour pork",13.6,2.68,25.5,8.88,1.0,259.9,0,1,0-1,protein
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",0.08,0.049,4.92,3.43,0.0,34.1,0,0,0-0,fruit / veg
"Sauce, salsa, ready-to-serve",0.19,0.0,6.74,1.44,1.8,34.4,0,0,0-0,fruit / veg
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",1.9,1.11,4.9,3.36,0.0,50.1,0,0,0-0,fruit / veg
"Milk, whole, 3.25% milkfat, with added vitamin D",3.2,1.86,4.63,3.27,0.0,60.4,0,0,0-0,fruit / veg
"Broccoli, raw",0.34,0.039,6.27,2.57,2.4,38.4,0,0,0-0,fruit / veg
"Eggs, Grade A, Large, egg white",0.0,0.0,2.36,10.7,0.0,52.2,0,0,0-0,fruit / veg
"Onions, red, raw",0.1,0.0,9.93,0.94,2.2,44.4,0,0,0-0,fruit / veg
"Onions, yellow, raw",0.05,0.0,8.61,0.83,1.9,38.2,0,0,0-0,fruit / veg
"Bananas, overripe, raw",0.22,0.0,20.1,0.73,1.7,85.3,0,0,0-0,fruit / veg
"Bananas, ripe and slightly ripe, raw",0.29,0.0,23.0,0.74,1.7,97.6,0,0,0-0,fruit / veg
"Ice creams, vanilla, light",4.83,2.927,29.46,4.78,0.3,180.4,0,1,0-1,protein
