food_item,fat_g,satfat_g,carbs_g,protein_g,fiber_g,energy_kcal_calculated
"Garlic, raw",0.0038,0.0,0.282,0.07495471014492755,0.03417721518987342,0.15850272131511717
"Onions, white, raw",0.0013000000000000002,0.0,0.0768,0.01007699275362319,0.015189873417721518,0.039320226591136286
"Apples, red delicious, with skin, raw",0.0021,0.0,0.14800000000000002,0.0021512681159420294,0.02531645569620253,0.06864378540486504
"Apples, honeycrisp, with skin, raw",0.001,0.0,0.147,0.0011322463768115945,0.021518987341772152,0.06675552593579918
"Apples, granny smith, with skin, raw",0.0014000000000000002,0.0,0.142,0.003057065217391305,0.03164556962025317,0.06564478507164279
"Apples, gala, with skin, raw",0.0015,0.0,0.14800000000000002,0.0014719202898550727,0.026582278481012658,0.06786626679995557
"Apples, fuji, with skin, raw",0.0016,0.0,0.157,0.0016983695652173915,0.026582278481012658,0.07197600799733422
"Flour, buckwheat",0.02484,0.0,0.7501808,0.10059918478260871,0.1310126582278481,0.39764522936798846
"Flour, rye",0.01908,0.0,0.771618,0.09505434782608697,0.17316455696202532,0.3992002665778074
"Flour, barley",0.0245,0.0,0.7739832,0.09875090579710145,0.16189873417721518,0.4070865267133178
"Flour, cassava",0.0049380000000000005,0.0,0.8731297499999999,0.010396569293478262,0.061189873417721516,0.3969787848494946
"Rice, white, long grain, unenriched, raw",0.010329999999999999,0.0,0.8031315,0.07969712409420292,0.001883544303797468,0.3984227479728979
"Beef, ground, 90% lean meat / 10% fat, raw",0.1285,0.05283472803347281,0.0,0.2055734827898551,0.0,0.2091525047206487
"Beef, ground, 80% lean meat / 20% fat, raw",0.19440000000000002,0.07160041841004185,0.0,0.19849694293478265,0.0,0.27224258580473176
"Pork, ground, raw",0.1749,0.06572175732217575,0.0,0.2016106204710145,0.0,0.2539153615461513
"Chicken, ground, with additives, raw",0.07161,0.01630753138075314,0.0,0.20281363224637686,0.0,0.151171831611685
"Turkey, ground, 93% lean/ 7% fat, raw",0.09591,0.02368200836820084,0.0,0.1963739809782609,0.0,0.17294235254915027
"Flour, chestnut",0.046360000000000005,0.007207112970711298,0.8045025,0.05985903532608696,0.11026582278481013,0.4273020104409641
"Flour, coconut",0.1528,0.14643305439330545,0.589025,0.18272758152173915,0.4334177215189874,0.4861712762412529
"Pork, loin, boneless, raw",0.09469,0.03436192468619247,0.0,0.23911628170289856,0.0,0.18849272464733977
"Pork, loin, tenderloin, boneless, raw",0.038990000000000004,0.009061715481171548,0.0,0.24435292119565222,0.0,0.13484394090858604
"Chicken, breast, boneless, skinless, raw",0.01934,0.0036485355648535568,0.0,0.25503849637681164,0.0,0.11940464289681217
"Chicken, thigh, boneless, skinless, raw",0.07916000000000001,0.017343096234309626,0.0,0.210739356884058,0.0,0.16183494390758635
"Beef, ribeye, steak, boneless, choice, raw",0.2004,0.08332635983263599,0.0,0.2122254302536232,0.0,0.28357214261912694
"Beef, round, top round, boneless, choice, raw",0.057030000000000004,0.017730125523012556,0.00852,0.2431499094202899,0.0,0.15617016550038876
"Beef, chuck, roast, boneless, choice, raw",0.17800000000000002,0.0663284518828452,0.0,0.20833333333333334,0.0,0.25969121403976453
"Beef, flank, steak, boneless, choice, raw",0.09398999999999999,0.03714435146443515,0.0,0.22793534873188412,0.0,0.18338331667222035
"Cheese, monterey jack, solid",0.32630000000000003,0.20041841004184102,0.018979,0.2560812952898551,0.0,0.4350771964900589
"Cheese, provolone, sliced",0.2813,0.1698744769874477,0.024531200000000003,0.26554438405797104,0.0,0.39631234033100077
"Cheese, oaxaca, solid",0.22100000000000003,0.1329497907949791,0.0240202,0.2507357336956522,0.0,0.3300011107408642
"Cheese, queso fresco, solid",0.2336,0.1459205020920502,0.029571999999999998,0.21382246376811595,0.0,0.3305564811729424
"Cheese, cotija, solid",0.2724,0.16621338912133893,0.027243200000000002,0.26987862318840583,0.0,0.39031433966455625
"Fish, tilapia, farm raised, raw",0.024790000000000003,0.0,0.0,0.21512681159420294,0.0,0.10918582694657336
"Crustaceans, shrimp, farm raised, raw",0.008013000000000001,0.0,0.0048495,0.1762766077898551,0.0,0.07930689770076642
"Fish, cod, Atlantic, wild caught, raw",0.006675,0.0,0.0,0.18193783967391308,0.0,0.07808508275019438
"Crustaceans, crab, blue swimming, lump, pasteurized, refrigerated",0.008075,0.0,0.0,0.21116394927536233,0.0,0.09096967677440854
"Squash, winter, butternut, raw",0.001675,0.0,0.1050745,0.01300668025362319,0.02479746835443038,0.05342663556592247
"Squash, winter, acorn, raw",0.001825,0.0,0.1048,0.01415307971014493,0.033354430379746836,0.05398200599800067
"Cabbage, bok choy, raw",0.0023380000000000002,0.0,0.0351495,0.011591372282608696,0.015936708860759492,0.022548039542374766
"Cauliflower, raw",0.002375,0.0,0.047230749999999995,0.01857591711956522,0.024658227848101264,0.030656447850716428
"Collards, raw",0.0077,0.0,0.0702225,0.03361356431159421,0.04830379746835443,0.052093746528934795
"Brussels sprouts, raw",0.00565,0.0,0.09615625,0.045112941576086966,0.060569620253164556,0.06608908141730534
"Beets, raw",0.003025,0.0,0.08787,0.019106657608695655,0.03948101265822785,0.049539042541375096
"Eggplant, raw",0.0012,0.0,0.05399325,0.00964532382246377,0.030987341772151896,0.02899033655448184
"Tomatoes, whole, canned, solids and liquids, with salt added",0.002063,0.0,0.042874,0.009822237318840582,0.011044303797468355,0.024991669443518827
"Tomato, sauce, canned, with salt added",0.0038250000000000003,0.0,0.06331625,0.01530655570652174,0.02070886075949367,0.03798733755414862
"Tomato, paste, canned, without salt added",0.007325000000000001,0.0,0.20188125,0.04794355751811595,0.05954430379746835,0.11585027213151171
"Tomatoes, crushed, canned",0.003975,0.0,0.07137,0.016276041666666668,0.02460759493670886,0.04209707875152727
"Tomato, puree, canned",0.00265,0.0,0.08036875,0.017868263134057975,0.024949367088607597,0.045318227257580806
"Apricot, with skin, raw",0.004050000000000001,0.0,0.10238749999999999,0.010883718297101452,0.019113924050632912,0.053759857825169385
